3厘中纤板,21.00,元/张,四川大西南建材城,2021-07-06
25厘刨花板,100.00,元/张,上海福人木材市场,2021-07-06
25厘中纤板,122.00,元/张,上海福人木材市场,2021-07-06
20厘刨花板,94.00,元/张,广东鱼珠国际木材市场,2021-07-06
18厘贴面板,77.00,元/张,广东鱼珠国际木材市场,2021-07-06
18厘覆膜水泥模板,128.00,元/张,四川大西南建材城,2021-07-06
18厘覆膜水泥模板,106.00,元/张,广东鱼珠国际木材市场,2021-07-06
18厘细木工板,131.00,元/张,广东鱼珠国际木材市场,2021-07-06
18厘素水泥模板,76.00,元/张,四川大西南建材城,2021-07-06
18厘素水泥模板,85.00,元/张,广东鱼珠国际木材市场,2021-07-06
18厘竹材胶合板,245.00,元/张,广东鱼珠国际木材市场,2021-07-06
18厘清水水泥模板,116.00,元/张,广东鱼珠国际木材市场,2021-07-06
18厘指接板,157.00,元/张,广东鱼珠国际木材市场,2021-07-06
18厘刨花板,83.00,元/张,上海福人木材市场,2021-07-06
18厘刨花板,69.00,元/张,广东鱼珠国际木材市场,2021-07-06
18厘中纤板,97.00,元/张,广东鱼珠国际木材市场,2021-07-06
18厘中纤板,85.00,元/张,上海福人木材市场,2021-07-06
18厘中纤板,120.00,元/张,四川大西南建材城,2021-07-06
16厘刨花板,76.00,元/张,上海福人木材市场,2021-07-06
15厘覆膜小水泥模板,109.00,元/张,四川大西南建材城,2021-07-06
15厘覆膜大水泥模板,124.00,元/张,四川大西南建材城,2021-07-06
15厘胶合板,94.00,元/张,广东鱼珠国际木材市场,2021-07-06
15厘细木工板,122.00,元/张,广东鱼珠国际木材市场,2021-07-06
15厘素水泥模板,71.00,元/张,四川大西南建材城,2021-07-06
15厘竹材胶合板,131.00,元/张,四川大西南建材城,2021-07-06
15厘竹材胶合板,163.00,元/张,广东鱼珠国际木材市场,2021-07-06
15厘清水水泥模板,114.00,元/张,四川大西南建材城,2021-07-06
15厘指接板,136.00,元/张,广东鱼珠国际木材市场,2021-07-06
15厘刨花板,64.00,元/张,广东鱼珠国际木材市场,2021-07-06
15厘中纤板,81.00,元/张,广东鱼珠国际木材市场,2021-07-06
15厘中纤板,84.00,元/张,上海福人木材市场,2021-07-06
15厘中纤板,77.00,元/张,四川大西南建材城,2021-07-06
12厘贴面板,67.00,元/张,广东鱼珠国际木材市场,2021-07-06
12厘覆膜水泥模板,74.00,元/张,四川大西南建材城,2021-07-06
12厘胶合板,78.00,元/张,广东鱼珠国际木材市场,2021-07-06
12厘素水泥模板,50.00,元/张,四川大西南建材城,2021-07-06
12厘竹材胶合板,124.00,元/张,四川大西南建材城,2021-07-06
12厘竹材胶合板,135.00,元/张,广东鱼珠国际木材市场,2021-07-06
