id,num
0,4660
1,4670
2,4670
3,4750
4,4770
5,4670
6,4620
7,4610
8,4600
9,4630
10,4640
11,4570
12,4560
13,4560
14,4540
15,4540
16,4560
17,4620
18,4570
19,4560
20,4520
21,4500
22,4510
23,4530
24,4580
25,4580
26,4660
27,4720
28,4720
29,4820
30,4780
31,4820
32,4930
33,4900
34,4900
35,4970
36,4940
37,4910
38,4950
39,5070
40,5040
41,4940
42,5030
43,4930
44,4920
45,4970
46,5000
47,5070
48,5020
49,5030
50,5050
51,5070
52,5170
53,5140
54,5170
55,5170
56,5210
57,5360
58,5380
59,5400
60,5470
61,5590
62,5630
63,5620
64,5570
65,5550
66,5450
67,5570
68,5570
69,5570
70,5570
71,5570
72,5590
73,5620
74,5670
75,5700
76,5790
77,5840
78,5870
79,5820
80,5870
81,5840
82,6040
83,6130
84,6300
85,6670
86,6670
87,6820
88,6590
89,6270
90,6150
91,6170
92,6070
93,6000
94,5980
95,5700
96,5680
97,5400
98,5570
99,5700
100,5830
101,5830
102,5770
103,5850
104,5840
105,5770
106,5750
107,5800
108,5840
109,5900
110,5810
111,5740
112,5770
113,5770
114,5650
115,5570
116,5570
117,5580
118,5600
119,5570
120,5570
121,5640
122,5620
123,5590
124,5600
125,5640
126,5740
127,5760
128,5780
id,num
0,3960
1,3960
2,3950
3,3950
4,3950
5,3950
6,3940
7,3930
8,3930
9,3930
10,3920
11,3920
12,3920
13,3920
14,3920
15,3920
16,3920
17,3640
18,3640
19,3640
20,3620
21,3620
22,3600
23,3610
24,3610
25,3600
26,3570
27,3570
28,3580
29,3570
30,3570
31,3590
32,3630
33,3630
34,3630
35,3610
36,3570
37,3590
38,3590
39,3590
40,3590
41,3580
42,3570
43,3580
44,3590
45,3580
46,3580
47,3610
48,3580
49,3580
50,3520
51,3510
52,3470
53,3450
54,3460
55,3420
56,3420
57,3370
58,3360
59,3280
60,3270
61,3270
62,3280
63,3310
64,3350
65,3350
66,3370
67,3370
68,3350
69,3350
70,3370
71,3370
72,3340
73,3340
74,3330
75,3340
76,3340
77,3340
78,3320
79,3320
80,3340
81,3380
82,3420
83,3440
84,3460
85,3470
86,3480
87,3480
88,3510
89,3530
90,3620
91,3640
92,3640
93,3640
94,3620
95,3590
96,3630
97,3630
98,3630
99,3710
100,3750
101,3750
102,3750
103,3740
104,3730
105,3760
106,3740
107,3750
108,3750
109,3770
110,3770
111,3760
112,3770
113,3800
114,3850
115,3850
116,3840
117,3830
118,3830
119,3830
120,3840
121,3830
122,3830
123,3840
124,3850
125,3900
126,3950
127,3970
128,3970
129,4000
130,3990
131,4000
132,3980
133,3990
134,3980
135,4000
136,4040
137,4050
138,4030
139,4010
140,4020
141,4040
142,4060
143,4090
144,4160
145,4160
146,4160
147,4170
148,4160
149,4140
150,4140
151,4130
152,4140
153,4150
154,4160
155,4160
156,4150
157,4140
158,4140
159,4130
160,4130
161,4120
162,4100
163,4100
164,4130
165,4140
166,4140
167,4130
168,4120
169,4100
170,4080
171,4030
172,3990
173,4000
174,4000
175,4000
176,3970
177,3970
178,3990
179,3960
180,3940
181,3930
182,3940
183,3930
184,3930
185,3920
186,3910
187,3920
188,3980
189,4030
190,4050
191,4050
192,4030
193,4000
194,4000
195,4010
196,4010
197,4020
198,4030
199,4040
200,4030
201,4030
202,4040
203,4040
204,4060
205,4080
206,4090
207,4140
208,4160
209,4180
210,4230
211,4210
212,4210
213,4200
214,4200
215,4210
216,4250
217,4250
218,4280
219,4290
220,4270
221,4270
222,4270
223,4280
224,4340
225,4340
226,4360
227,4420
228,4410
229,4420
230,4490
231,4500
232,4510
233,4600
234,4660
235,4610
236,4610
237,4640
238,4660
239,4800
240,5100
241,5080
242,4940
243,4920
244,4840
245,4740
246,4690
247,4660
248,4690
249,4660
250,4670
251,4670
252,4750
253,4770
254,4670
255,4620
256,4610
257,4600
258,4630
259,4640
260,4570
261,4560
262,4560
263,4540
264,4540
265,4560
266,4620
267,4570
268,4560
269,4520
270,4500
271,4510
272,4530
273,4580
274,4580
275,4660
276,4720
277,4720
278,4820
279,4780
280,4820
281,4930
282,4900
283,4900
284,4970
285,4940
286,4910
287,4950
288,5070
289,5040
290,4940
291,5030
292,4930
293,4920
294,4970
295,5000
296,5070
297,5020
298,5030
299,5050
300,5070
301,5170
302,5140
303,5170
304,5170
305,5210
306,5360
307,5380
308,5400
309,5470
310,5590
311,5630
312,5620
313,5570
314,5550
315,5450
316,5570
317,5570
318,5570
319,5570
320,5570
321,5590
322,5620
323,5670
324,5700
325,5790
326,5840
327,5870
328,5820
329,5870
330,5840
331,6040
332,6130
333,6300
334,6670
335,6670
336,6820
337,6590
338,6270
339,6150
340,6170
341,6070
342,6000
343,5980
344,5700
345,5680
346,5400
347,5570
348,5700
349,5830
350,5830
351,5770
352,5850
353,5840
354,5770
355,5750
356,5800
357,5840
358,5900
359,5810
360,5740
361,5770
362,5770
363,5650
364,5570
365,5570
366,5580
367,5600
368,5570
369,5570
370,5640
371,5620
372,5590
373,5600
374,5640
375,5740
376,5760
377,5780
